UniqueCount	AmbigCount
1	44
0	6
15	928
2	0
0	4
0	0
0	0
0	9
0	9
0	0
0	0
0	0
34	103
0	72
0	5
0	16
0	47
0	11
218	265
78	2869
64	248
0	195
1558	286
1	226
57	1357
4	14
12	4
0	17
0	2
32	1111
2	62
0	124
5	100
0	41
26	103
1	13
0	32
0	0
0	0
0	0
0	0
0	0
0	39
0	0
0	6
0	0
0	0
1	40
0	46
11	97
0	8
0	17
0	157
10	3619
60	57
0	1033
0	367
0	374
1	533
92	244
0	229
0	372
15	299
0	1
0	1
0	0
0	0
0	2
0	0
0	0
0	39
0	6
0	0
40	1105
872	6970
77	35016
0	78
5	2903
0	36
2479	8118
9	4986
0	0
0	12
0	8
5	20
0	56
0	7
0	143
490	11424
0	7
1	4
0	127
1	17
3	13
0	21
0	18
0	4
0	4
7	4
0	9
1	0
9	1
0	8
0	4
0	4
0	4
0	5
0	5
0	9
3	36
3	11
1	1
8	1
0	7
2	11
1	6
25	14
0	5
62	24
0	8
0	9
0	11
0	11
0	5
0	29
0	16
0	8
0	9
1	5
1	6
0	8
5	31
0	5
0	25
0	2
0	0
0	0
2	25
2	5
0	0
0	0
0	0
0	0
0	0
0	38
0	38
0	38
0	38
0	38
0	38
0	38
0	38
0	38
0	38
0	0
0	0
0	0
0	0
0	0
1	205
25	475
17	488
0	0
0	96
7	17
17	86
1	96
6	24
4	28
6	1
0	6
0	4
0	6
0	0
0	2
0	3
0	3
0	3
0	0
0	23
0	21
12	22
0	11
0	362
0	253
0	1
2	0
110	361
3	61
0	61
0	0
0	1
0	2
1	0
0	0
3	29
0	7
2	14
0	0
0	9
1	16
1	0
0	9
4	0
0	3
1	7
1	12
0	85
0	66
0	77
0	73
11	72
1	77
2	91
0	16
0	68
0	23
0	15
0	17
0	6
0	7
0	7
0	4
0	3
2	2
3	0
2	0
0	0
1	0
0	0
1	0
2	31
0	27
0	0
0	0
1	0
0	0
0	0
0	0
0	24
4	44
8	24
0	23
10	45
12	45
0	14
4	1135
0	1067
0	1024
132	558
7	483
0	364
0	335
180	0
0	1
1	1
0	2
1	0
1	1
15	8
1	517
0	521
0	505
0	338
0	352
1	308
0	304
17	81
0	255
1	199
0	42
0	66
0	112
0	82
1	80
1	13
0	33
1	32
6	32
17	3
5	1
2	0
1	22
0	20
0	23
0	23
0	1
0	21
0	0
0	8
4	460
47	443
6	296
0	303
5	4
0	0
0	41
1	63
3	5
43	107
1	41
14	38
0	21
5	1
4	78
1	24
2	14
0	38
3	55
1	468
0	673
0	672
0	378
0	510
0	677
0	169
0	593
0	511
69	508
17	417
0	510
0	672
0	514
0	456
0	520
0	583
0	222
1	168
3	133
0	462
0	158
0	0
0	196
0	158
2	116
0	107
0	178
0	17
1	51
2	210
1	111
0	114
0	177
0	164
0	164
0	25
1	5
0	104
22	0
0	136
0	133
3	98
0	92
0	103
0	50
0	42
0	58
0	55
0	15
0	9
2	1
2	72
121	83
2	19
13	0
2	308
2	310
0	221
0	53
0	67
4	41
0	15
0	0
3	16
0	15
1	22
0	22
0	22
1	22
0	5
0	3
3	8
0	0
0	0
6	566
192	540
0	540
2	546
20	84
0	28
1	0
84	1230
5	1263
7	823
11	1480
5	2578
0	1604
0	1035
2	1902
0	1963
0	814
0	1017
1	348
4	279
5	256
4	319
0	637
32	67
5	220
5	27
1	88
1	95
2	274
15	304
0	12
0	12
0	286
2	292
0	114
40	323
0	156
32	284
29	16
23	141
0	4
0	53
68	144
0	12
0	12
0	12
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
32	82
0	0
0	3
1	144
31	163
2	20
17	106
23	81
0	117
1	116
0	108
0	108
0	4
4	16
1	16
0	3
0	3
5	0
108	1070
5	796
1	314
357	125
32	426
0	0
30	0
50	9
